Identifier from Copilot,Title from Copilot,"Implementation Applicable (Y or N/A)",Identifier from ISM,Description from ISM
ISM-1770,"Use AES-192/256 for encryption, prefer AES-256",Not Assessed,ISM-1770,"When using AES for encryption, AES-192 or AES-256 is used, preferably AES-256."
ISM-0479,Do not use ECB mode for symmetric algorithms,Not Assessed,ISM-0479,Symmetric cryptographic algorithms are not used in Electronic Codebook Mode.
ISM-2073,Develop post-quantum cryptography transition plan,Not Assessed,ISM-2073,"A post-quantum cryptography transition plan is developed, implemented and maintained."
ISM-1917,Procure/develop crypto to support PQ algorithms by 2030,Not Assessed,ISM-1917,"The development and procurement of new cryptographic equipment, applications and libraries ensures support for the use of ML-DSA-87, ML-KEM-1024, SHA-384, SHA-512 and AES-256 by no later than 2030."
ISM-1996,Use AACA or hybrid schemes for post-quantum transition,Not Assessed,ISM-1996,"When a post-quantum traditional hybrid scheme is used, either the post-quantum cryptographic algorithm, the traditional cryptographic algorithm or both are AACAs."
ISM-0481,Use only AACPs/high-assurance cryptographic protocols,Not Assessed,ISM-0481,"Only AACPs or high assurance cryptographic protocols are used by cryptographic equipment, applications and libraries."
ISM-1139,Use latest TLS version,Not Assessed,ISM-1139,Only the latest version of TLS is used for TLS connections.
ISM-1369,Use AES-GCM for TLS encryption,Not Assessed,ISM-1369,AES-GCM is used for encryption of TLS connections.
ISM-1370,Only allow server-initiated secure renegotiation in TLS,Not Assessed,ISM-1370,Only server-initiated secure renegotiation is used for TLS connections.
ISM-1372,Use DH/ECDH for TLS key establishment,Not Assessed,ISM-1372,DH or ECDH is used for key establishment of TLS connections.
ISM-1448,Use ephemeral DH/ECDH for TLS key establishment,Not Assessed,ISM-1448,"When using DH or ECDH for key establishment of TLS connections, the ephemeral variant is used."
ISM-1373,Do not use anonymous DH in TLS,Not Assessed,ISM-1373,Anonymous DH is not used for TLS connections.
ISM-1374,Use SHA-2-based certificates for TLS,Not Assessed,ISM-1374,SHA-2-based certificates are used for TLS connections.
ISM-1375,Use SHA-2 for HMAC/PRF in TLS,Not Assessed,ISM-1375,SHA-2 is used for the Hash-based Message Authentication Code (HMAC) and pseudorandom function (PRF) for TLS connections.
ISM-1553,Disable TLS compression,Not Assessed,ISM-1553,TLS compression is disabled for TLS connections.
ISM-1453,Use Perfect Forward Secrecy in TLS,Not Assessed,ISM-1453,Perfect Forward Secrecy (PFS) is used for TLS connections.
ISM-1506,Disable SSHv1,Not Assessed,ISM-1506,The use of SSH version 1 is disabled for SSH connections.
ISM-0484,Configure SSH daemon with secure settings,Not Assessed,ISM-0484,"The SSH daemon is configured to:
• only listen on the required interfaces (ListenAddress xxx.xxx.xxx.xxx)
• have a suitable login banner (Banner x)
• have a login authentication timeout of no more than 60 seconds (LoginGraceTime 60)
• disable host-based authentication (HostbasedAuthentication no)
• disable rhosts-based authentication (IgnoreRhosts yes)
• disable the ability to login directly as root (PermitRootLogin no)
• disable empty passwords (PermitEmptyPasswords no)
• disable connection forwarding (AllowTCPForwarding no)
• disable gateway ports (GatewayPorts no)
• disable X11 forwarding (X11Forwarding no)."
ISM-0485,Use public key authentication for SSH,Not Assessed,ISM-0485,Public key-based authentication is used for SSH connections.
ISM-1449,Protect SSH private keys with passphrase/key encryption,Not Assessed,ISM-1449,SSH private keys are protected with a password or a key encryption key.
ISM-0487,When using passwordless SSH restrict forwarding/X11/console and IPs,Not Assessed,ISM-0487,"When using logins without a password for SSH connections, the following are disabled:
• access from IP addresses that do not require access
• port forwarding
• agent credential forwarding
• X11 forwarding
• console access."
ISM-0488,Use forced command and parameter checking for passwordless SSH,Not Assessed,ISM-0488,"If using remote access without the use of a password for SSH connections, the ‘forced command’ option is used to specify what command is executed and parameter checking is enabled."
ISM-0489,Limit SSH-agent use to locked workstations with expiry,Not Assessed,ISM-0489,"When SSH-agent or similar key caching applications are used, it is limited to workstations and servers with screen locks and key caches that are set to expire within four hours of inactivity."
ISM-0490,Use S/MIME >=3.0,Not Assessed,ISM-0490,Versions of S/MIME earlier than S/MIME version 3.0 are not used for S/MIME connections.
ISM-0494,Use tunnel mode for IPsec (use IP tunnels if transport),Not Assessed,ISM-0494,"Tunnel mode is used for IPsec connections; however, if using transport mode, an IP tunnel is used."
ISM-0496,Use ESP for IPsec auth/encryption,Not Assessed,ISM-0496,The ESP protocol is used for authentication and encryption of IPsec connections.
ISM-1233,Use IKEv2 for IPsec key exchange,Not Assessed,ISM-1233,IKE version 2 is used for key exchange when establishing IPsec connections.
ISM-1771,Use AES (prefer ENCR_AES_GCM_16) for IPsec encryption,Not Assessed,ISM-1771,"AES is used for encrypting IPsec connections, preferably ENCR_AES_GCM_16."
ISM-1772,"Use PRF_HMAC_SHA2 variants for IPsec, prefer SHA2_512",Not Assessed,ISM-1772,"PRF_HMAC_SHA2_256, PRF_HMAC_SHA2_384 or PRF_HMAC_SHA2_512 is used for IPsec connections, preferably PRF_HMAC_SHA2_512."
ISM-0998,Use suitable AUTH_HMAC_SHA2 variants or NONE with AES-GCM,Not Assessed,ISM-0998,"AUTH_HMAC_SHA2_256_128, AUTH_HMAC_SHA2_384_192, AUTH_HMAC_SHA2_512_256 or NONE (only with AES-GCM) is used for authenticating IPsec connections, preferably NONE."
ISM-0999,Use DH/ECDH for IPsec key establishment with recommended groups,Not Assessed,ISM-0999,"DH or ECDH is used for key establishment of IPsec connections, preferably 384-bit random ECP group, 3072-bit MODP Group or 4096-bit MODP Group."
ISM-0498,Use SA lifetime <4 hours for IPsec,Not Assessed,ISM-0498,A security association lifetime of less than four hours (14400 seconds) is used for IPsec connections.
ISM-1000,Use PFS for IPsec,Not Assessed,ISM-1000,PFS is used for IPsec connections.
ISM-0628,Implement gateways between different security domains,Not Assessed,ISM-0628,Gateways are implemented between networks belonging to different security domains.
ISM-0637,Use DMZ if externals require access,Not Assessed,ISM-0637,Gateways implement a demilitarised zone if external parties require access to an organisation’s services.
ISM-0631,Gateways permit only explicitly authorised data flows,Not Assessed,ISM-0631,Gateways only allow explicitly authorised data flows.
ISM-1192,Gateways inspect/filter transport+ layer data flows,Not Assessed,ISM-1192,Gateways inspect and filter data flows at the transport and above network layers.
ISM-1427,Gateways perform ingress filtering to prevent IP spoofing,Not Assessed,ISM-1427,Gateways perform ingress traffic filtering to detect and prevent IP source address spoofing.
ISM-1520,Gateway admins screened/cleared by sensitivity,Not Assessed,ISM-1520,"System administrators for gateways undergo appropriate employment screening, and where necessary hold an appropriate security clearance, based on the sensitivity or classification of gateways."
ISM-0613,Gateway admins for AUSTEO/RELEASABLE must be Australian nationals,Not Assessed,ISM-0613,System administrators for gateways that connect to Australian Eyes Only or Releasable To networks are Australian nationals.
ISM-1773,Gateway admins for AGAO are Australian or seconded foreign nationals,Not Assessed,ISM-1773,System administrators for gateways that connect to Australian Government Access Only networks are Australian nationals or seconded foreign nationals.
